RTX,Feature bin,Peak Da,Brx_Semana 1_CODE_I,Chx_Semana 1_CODE_I,Clx_Semana 1_CODE_I,Fax_Semana 1_CODE_I,GU_Semana 1_CODE_I,GUx_Semana 1_CODE_I,Medio Br_Semana 1_CODE_I,Medio Br_Semana 2_CODE_I,Medio Br_Semana 3_CODE_I,Medio Ch_Semana 1_CODE_I,Medio Ch_Semana 2_CODE_I,Medio Ch_Semana 3_CODE_I,Medio Cl_Semana 1_CODE_I,Medio Cl_Semana 2_CODE_I,Medio Cl_Semana 3_CODE_I,Medio Fa_Semana 1_CODE_I,Medio Fa_Semana 2_CODE_I,Medio Fa_Semana 3_CODE_I,Medio Sc_Semana 1_CODE_I,Medio Sc_Semana 2_CODE_I,Medio Sc_Semana 3_CODE_I,Scx_Semana 1_CODE_I,Brx_Semana 1_CODE_S,Chx_Semana 1_CODE_S,Clx_Semana 1_CODE_S,Fax_Semana 1_CODE_S,GU_Semana 1_CODE_S,GUx_Semana 1_CODE_S,Medio Br_Semana 1_CODE_S,Medio Br_Semana 2_CODE_S,Medio Br_Semana 3_CODE_S,Medio Ch_Semana 1_CODE_S,Medio Ch_Semana 2_CODE_S,Medio Ch_Semana 3_CODE_S,Medio Cl_Semana 1_CODE_S,Medio Cl_Semana 2_CODE_S,Medio Cl_Semana 3_CODE_S,Medio Fa_Semana 1_CODE_S,Medio Fa_Semana 2_CODE_S,Medio Fa_Semana 3_CODE_S,Medio Sc_Semana 1_CODE_S,Medio Sc_Semana 2_CODE_S,Medio Sc_Semana 3_CODE_S,Scx_Semana 1_CODE_S
RT023,74,2222,0.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
RT023,83,2249,0.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,1.0,0.0,0.0
RT023,89,2267,0.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,1.0,0.0,0.0
RT023,147,2441,0.0,0.0,-1.0,,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,0.0,-1.0,-1.0,0.0,1.0,1.0,1.0,,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.0,0.0,-1.0,1.0,1.0,1.0,0.0
RT023,240,2720,0.0,0.0,1.0,,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RT023,259,2777,0.0,0.0,-1.0,,1.0,0.0,0.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,,-1.0,0.0,0.0,1.0,0.0,-1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
RT023,260,2780,0.0,0.0,-1.0,,1.0,0.0,0.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-1.0,0.0,0.0,1.0,0.0,-1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
RT023,755,4265,0.0,0.0,1.0,,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
RT023,863,4589,-1.0,-1.0,-1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
RT023,1026,5078,0.0,-1.0,1.0,,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
