DOI,Journal,Year,Title,First Author,Abstract,Language,Open Access,Document Type,Keywords
10.1016/j.diagmicrobio.2024.116467,DIAGNOSTIC MICROBIOLOGY AND INFECTIOUS DISEASE,2024,Modelling the rapid detection of Carbapenemase-resistant Klebsiella pneumoniae based on machine learning and matrix-assisted laser desorption/ionization time-of-flight mass spectrometry,"Xu, XB","In this study, 80 carbapenem-resistant Klebsiella pneumoniae (CR-KP) and 160 carbapenem-susceptible Klebsiella pneumoniae (CS-KP) strains detected in the clinic were selected and their matrix-assisted laser desorption/ionization time-of-flight mass spectrometry (MALDI-TOF MS) peaks were collected. K-means clustering was performed on the MS peak data to obtain the best ""feature peaks"", and four different machine learning models were built to compare the area under the ROC curve, specificity, sensitivity, test set score, and ten-fold cross-validation score of the models. By adjusting the model parameters, the test efficacy of the model is increased on the basis of reducing model overfitting. The area under the ROC curve of the Random Forest, Support Vector Machine, Logistic Regression, and Xgboost models used in this study are 0.99, 0.97, 0.96, and 0.97, respectively; the model scores on the test set are 0.94, 0.91, 0.90, and 0.93, respectively; and the results of the ten-fold cross-validation are 0.84, 0.81, 0.81, and 0.85, respectively. Based on the machine learning algorithms and MALDI-TOF MS assay data can realize rapid detection of CR-KP, shorten the in-laboratory reporting time, and provide fast and reliable identification results of CR-KP and CS-KP.",English,hybrid,Article,"Machine learning; MALDI-TOF MS; Random Forest; Support Vector Machine;
   Logistic Regression; Xgboost"
10.3390/microorganisms10081658,MICROORGANISMS,2022,"Machine Learning Algorithms for Classification of MALDI-TOF MS Spectra from Phylogenetically Closely Related Species <i>Brucella melitensis</i>, <i>Brucella abortus</i> and <i>Brucella suis</i>","Dematheis, F","(1) Background: MALDI-TOF mass spectrometry (MS) is the gold standard for microbial fingerprinting, however, for phylogenetically closely related species, the resolution power drops down to the genus level. In this study, we analyzed MALDI-TOF spectra from 44 strains of B. melitensis, B. suis and B. abortus to identify the optimal classification method within popular supervised and unsupervised machine learning (ML) algorithms. (2) Methods: A consensus feature selection strategy was applied to pinpoint from among the 500 MS features those that yielded the best ML model and that may play a role in species differentiation. Unsupervised k-means and hierarchical agglomerative clustering were evaluated using the silhouette coefficient, while the supervised classifiers Random Forest, Support Vector Machine, Neural Network, and Multinomial Logistic Regression were explored in a fine-tuning manner using nested k-fold cross validation (CV) with a feature reduction step between the two CV loops. (3) Results: Sixteen differentially expressed peaks were identified and used to feed ML classifiers. Unsupervised and optimized supervised models displayed excellent predictive performances with 100% accuracy. The suitability of the consensus feature selection strategy for learning system accuracy was shown. (4) Conclusion: A meaningful ML approach is here introduced, to enhance Brucella spp. classification using MALDI-TOF MS data.",English,"Green Published, gold",Article,"MALDI-TOF MS; Brucella melitensis; B; suis; B; abortus; machine
   learning; nested k-fold cross validation; feature selection; R"
10.1016/j.chroma.2024.465262,JOURNAL OF CHROMATOGRAPHY A,2024,Machine learning and matrix-assisted laser desorption/ionization time-of-flight mass spectra for antimicrobial resistance prediction: A systematic review of recent advancements and future development,"López-Cortés, XA","Background: The use of matrix-assisted laser desorption/ionization time-of-flight mass spectra (MALDI-TOF MS) combined with machine learning techniques has recently emerged as a method to address the public health crisis of antimicrobial resistance. This systematic review, conducted following Preferred Reporting Items for Systematic reviews and Meta-Analyses (PRISMA) guidelines, aims to evaluate the current state of the art in using machine learning for the detection and classification of antimicrobial resistance from MALDI-TOF mass spectrometry data. Methods: A comprehensive review of the literature on machine learning applications for antimicrobial resistance detection was performed using databases such as Web Of Science, Scopus, ScienceDirect, IEEE Xplore, and PubMed. Only original articles in English were included. Studies applying machine learning without using MALDI-TOF mass spectra were excluded. Results: Forty studies met the inclusion criteria. Staphylococcus aureus, , Klebsiella pneumoniae and Escherichia coli were the most frequently cited bacteria. The antibiotics resistance most studied corresponds to methicillin for S. aureus, , cephalosporins for K. pneumoniae, , and aminoglycosides for E. coli. . Random forest, support vector machine and logistic regression were the most employed algorithms to predict antimicrobial resistance. Additionally, seven studies reported using artificial neural networks. Most studies reported metrics such as accuracy, sensitivity, specificity, and the area under the receiver operating characteristic (AUROC) above 0.80. Conclusions: Our study indicates that random forest, support vector machine, and logistic regression are effective for predicting antimicrobial resistance using MALDI-TOF MS data. Recent studies also highlight the potential of deep learning techniques in this area. We recommend further exploration of deep learning and multi-label supervised learning for comprehensive antibiotic resistance prediction in clinical practice.",English,,Review,"MALDI-TOF; Antimicrobial resistance; Machine learning; Artificial
   intelligence"
10.1109/LA-CCI48322.2021.9769825,2021 IEEE LATIN AMERICAN CONFERENCE ON COMPUTATIONAL INTELLIGENCE,2021,Semi-supervised learning for MS MALDI-TOF data,"López-Cortés, XA","MALDI-TOF mass spectrometry (laser desorption/ionization assisted by a flight time mass detection matrix) is a promising strategy for identifying patterns in data, establishing a relevant methodology for rapid and accurate identification of microorganisms. However, this type of data is difficult to analyze due to its complexity, and sometimes it is impossible to make a correct labeling. To address this problem, advanced data analysis techniques such as machine learning (ML) methods can be applied. This research proposes a methodology to classify mass spectrometry (MS) data applying a semi-supervised learning (SSL) approach called self-training. This type of learning uses labeled and unlabeled data simultaneously in the training process to alleviate the scarcity of data labels. To demonstrate the efficiency of this proposal, MS data of healthy salmon infected with the pathogen Piscirickettsia salmonis was analyzed. Experimental results showed that self-training with random forest performs appropriately, achieving an accuracy of 0.9. Furthermore, feature selection allows the identification of seven potential biomarkers that define healthy and sick salmon profiles accurately.",English,,Proceedings Paper,"Semi-supervised learning; Mass spectrometry; MALDI-TOF; P. salmonis;
   diseases"
10.3390/ijms241311009,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,2023,Differentiation between <i>Weissella cibaria</i> and <i>Weissella confusa</i> Using Machine-Learning-Combined MALDI-TOF MS,"Kim, E","Although Weissella cibaria and W. confusa are essential food-fermenting bacteria, they are also opportunistic pathogens. Despite these species being commercially crucial, their taxonomy is still based on inaccurate identification methods. In this study, we present a novel approach for identifying two important Weissella species, W. cibaria and W. confusa, by combining matrix-assisted laser desorption/ionization and time-of-flight mass spectrometer (MALDI-TOF MS) data using machine-learning techniques. After on- and off-plate protein extraction, we observed that the BioTyper database misidentified or could not differentiate Weissella species. Although Weissella species exhibited very similar protein profiles, these species can be differentiated on the basis of the results of a statistical analysis. To classify W. cibaria, W. confusa, and non-target Weissella species, machine learning was used for 167 spectra, which led to the listing of potential species-specific mass-to-charge (m/z) loci. Machine-learning techniques including artificial neural networks, principal component analysis combined with the K-nearest neighbor, support vector machine (SVM), and random forest were used. The model that applied the Radial Basis Function kernel algorithm in SVM achieved classification accuracy of 1.0 for training and test sets. The combination of MALDI-TOF MS and machine learning can efficiently classify closely-related species, enabling accurate microbial identification.",English,"Green Published, gold",Article,"Weissella cibaria; Weissella confusa; MALDI-TOF MS; machine learning;
   identification"
10.3389/fmicb.2023.1297451,FRONTIERS IN MICROBIOLOGY,2023,Rapid discrimination of <i>Bifidobacterium longum</i> subspecies based on MALDI-TOF MS and machine learning,"Liu, KX","Although MALDI-TOF mass spectrometry (MS) is widely known as a rapid and cost-effective reference method for identifying microorganisms, its commercial databases face limitations in accurately distinguishing specific subspecies of Bifidobacterium. This study aimed to explore the potential of MALDI-TOF MS protein profiles, coupled with prediction methods, to differentiate between Bifidobacterium longum subsp. infantis (B. infantis) and Bifidobacterium longum subsp. longum (B. longum). The investigation involved the analysis of mass spectra of 59 B. longum strains and 41 B. infantis strains, leading to the identification of five distinct biomarker peaks, specifically at m/z 2,929, 4,408, 5,381, 5,394, and 8,817, using Recurrent Feature Elimination (RFE). To facilate classification between B. longum and B. infantis based on the mass spectra, machine learning models were developed, employing algorithms such as logistic regression (LR), random forest (RF), and support vector machine (SVM). The evaluation of the mass spectrometry data showed that the RF model exhibited the highest performace, boasting an impressive AUC of 0.984. This model outperformed other algorithms in terms of accuracy and sensitivity. Furthermore, when employing a voting mechanism on multi-mass spectrometry data for strain identificaton, the RF model achieved the highest accuracy of 96.67%. The outcomes of this research hold the significant potential for commercial applications, enabling the rapid and precise discrimination of B. longum and B. infantis using MALDI-TOF MS in conjunction with machine learning. Additionally, the approach proposed in this study carries substantial implications across various industries, such as probiotics and pharmaceuticals, where the precise differentiation of specific subspecies is essential for product development and quality control.",English,"gold, Green Published",Article,"Bifidobacterium longum subspecies; MALDI-TOF MS; machine learning;
   identification; B. longum; B. infantis"
10.1016/j.foodchem.2024.140931,FOOD CHEMISTRY,2025,Integration of MALDI-TOF MS and machine learning to classify enterococci: A comparative analysis of supervised learning algorithms for species prediction,"Kim, E","This research focused on distinguishing distinct matrix assisted laser desorption/ionization time-of-flight mass spectrometry (MALDI-TOF MS) spectral signatures of three Enterococcus species. We evaluated and compared the predictive performance of four supervised machine learning algorithms, K-nearest neighbor (KNN), support vector machine (SVM), and random forest (RF), to accurately classify Enterococcus species. This study involved a comprehensive dataset of 410 strains, generating 1640 individual spectra through on-plate and off-plate protein extraction methods. Although the commercial database correctly identified 76.9% of the strains, machine learning classifiers demonstrated superior performance (accuracy 0.991). In the RF model, top informative peaks played a significant role in the classification. Whole-genome sequencing showed that the most informative peaks are biomarkers connected to proteins, which are essential for understanding bacterial classification and evolution. The integration of MALDI-TOF MS and machine learning provides a rapid and accurate method for identifying Enterococcus species, improving healthcare and food safety.",English,,Article,Enterococcus; Machine learning; MALDI-TOF MS; Classification; Mass peak
10.1128/spectrum.03668-23,MICROBIOLOGY SPECTRUM,2024,Classification of <i>Latilactobacillus sakei</i> subspecies based on MALDI-TOF MS protein profiles using machine learning models,"Kim, E","Latilactobacillus sakei is an important bacterial species used as a starter culture for fermented foods; however, two subspecies within this species exhibit different properties in the foods. Matrix-assisted laser desorption/ionization-time of flight mass spectrometer (MALDI-TOF MS) is the gold standard for microbial fingerprinting. However, the resolution power is down to the species level. This study was to combine MALDI-TOF mass spectra and machine learning to develop a new method to identify two L. sakei subspecies (L. sakei subsp. sakei and L. sakei subsp. carnosus) and non-L. sakei species. Totally, 227 strains were collected, with 908 spectra obtained via on- and off-plate protein extraction. Only 68.7% of strains were correctly identified at the subspecies level in the Biotyper database; however, a high level of performance was observed from the machine learning models. Partial least squares-discriminant analysis (PLS-DA), principal component analysis-K-nearest neighbor (PCA-KNN), and support vector machine (SVM) demonstrated 0.823, 0.914, and 0.903 accuracies, respectively, whereas the random forest (RF) achieved an accuracy of 0.954, with an area under the receiver operating characteristic (AUROC) curve of 0.99, outperforming the other algorithms in distinguishing the subspecies. The machine learning proved to be a promising technique for the rapid and high-resolution classification of L. sakei subspecies using MALDI-TOF MS.",English,gold,Article,"Latilactobacillus sakei subspecies; fermented food; machine learning;
   MALDI-TOF MS; classification"
10.1016/j.diagmicrobio.2023.116052,DIAGNOSTIC MICROBIOLOGY AND INFECTIOUS DISEASE,2023,Rapid determination of colistin resistance in<i> Klebsiella</i><i> pneumoniae</i> by MALDI-TOF peak based machine learning algorithm with MATLAB,"Iskender, S","Introduction: To date, limited data exist on demonstrating the usefulness of machine learning (ML) algorithms applied to MALDI-TOF in determining colistin resistance among Klebsiella pneumoniae. We aimed to detect colistin resistance in K. pneumoniae using MATLAB on MALDI-TOF database.Materials and methods: A total of 260 K. pneumoniae isolates were collected. Three ML models, namely, linear discriminant analysis (LDA), support vector machine, and Ensemble were used as ML algorithms and applied to training data set.Results: The accuracies for the training phase with 200 isolates were found to be 99.3%, 93.1%, and 88.3% for LDA, support vector machine, and Ensemble models, respectively. Accuracy, sensitivity, specificity, and precision values for LDA in the application test set with 60 K. pneumoniae isolates were 81.6%, 66.7%, 91.7%, and 84.2%, respectively.Conclusion: This study provides a rapid and accurate MALDI-TOF MS screening assay for clinical practice in identifying colistin resistance in K. pneumoniae.(c) 2023 Elsevier Inc. All rights reserved.",English,,Article,"Colistin resistance; Klebsiella pneumoniae; MALDI-TOF; MATLAB; Machine
   learning"
10.1007/s00521-023-08333-2,NEURAL COMPUTING & APPLICATIONS,2023,Semi-supervised learning for MALDI-TOF mass spectrometry data classification: an application in the salmon industry,"González, C","MALDI-TOF mass spectrometry (Matrix-Assisted Laser Desorption-Ionization (MALDI) and a Time-of-Flight detector (TOF) is a promising strategy for identifying patterns in data, establishing a relevant methodology for rapid and accurate microorganisms identification. However, this type of data is challenging to analyze due to its high complexity, and sometimes it is impossible to make a correct labeling. To address this problem, advanced data analysis techniques such as machine learning methods can be applied. In this work, we propose a novel approach using the semi-supervised paradigm for classifying MALDI-TOF mass spectrometry data. In addition, our study considers the use of labeled and unlabeled data to alleviate the issue of data labeling. Specifically, mass spectrometry data of healthy and infected salmon with the Piscirickettsia salmonis pathogen was analyzed. Our proposed algorithm based on self-training showed superior performance compared to traditional ML methods (NB, RF, SVM). Even considering a small percentage of labeled instances (25%), semi-supervised learning attains equilibrated performance across all metrics. Experimental results showed that self-training with a random forest classifier reached an accuracy of 0.9, sensitivity of 0.75, and specificity of 1. Furthermore, the feature selection allowed the identification of 15 potential biomarkers that define healthy and infected salmon profiles accurately. From a more general perspective, these results demonstrate the potential of the proposed semi-supervised learning methodology for classifying MALDI-TOF mass spectrometry data.",English,,Article,Semi-supervised learning; Mass spectrometry; Aquaculture
10.1016/j.mimet.2021.106378,JOURNAL OF MICROBIOLOGICAL METHODS,2022,Accurate classification of <i>Listeria</i> species by MALDI-TOF mass spectrometry incorporating denoising autoencoder and machine learning,"Li, YH","Listeria monocytogenes belongs to the category of facultative anaerobic bacteria, and is the pathogen of listeriosis, potentially lethal disease for humans. There are many similarities between L. monocytogenes and other nonp-athogenic Listeria species, which causes great difficulties for their correct identification. The level of L. monocytogenes contamination in food remains high according to statistics from the Food and Drug Administration. This situation leads to food recall and destruction, which has caused huge economic losses to the food industry. Therefore, the identification of Listeria species is very important for clinical treatment and food safety. This work aims to explore an efficient classification algorithm which could easily and reliably distinguish Listeria species. We attempted to classify Listeria species by incorporating denoising autoencoder (DAE) and machine learning algorithms in matrix-assisted laser desorption ionization time-of-flight mass spectrometry (MALDI-TOF MS). In addition, convolutional neural networks were used to map the high dimensional original mass spectrometry data to low dimensional core features. By analyzing MALDI-TOF MS data via incorporating DAE and support vector machine (SVM), the identification accuracy of Listeria species was 100%. The proposed classification algorithm is fast (range of seconds), easy to handle, and, more importantly, this method also allows for extending the identification scope of bacteria. The DAE model used in our research is an effective tool for the extraction of MALDI-TOF mass spectrometry features. Despite the fact that the MALDI-TOF MS dataset examined in our research had high dimensionality, the DAE + SVM algorithm was still able to exploit the hidden information embedded in the original MALDI-TOF mass spectra. The experimental results in our work demonstrated that MALDI-TOF mass spectrum combined with DAE + SVM could easily and reliably distinguish Listeria species.",English,,Article,"Listeria species; MALDI-TOF; Denoising autoencoder; Machine learning;
   Support vector machines; Convolutional neural networks"
